1,India,121
2,Australia,118
3,South Africa,110
4,Pakistan,109
5,New Zealand,102
6,England,96
7,Sri Lanka,91
8,Bangladesh,87
9,Afghanistan,81
10,West Indies,71
11,Zimbabwe,50
12,Ireland,47
13,Scotland,46
14,Netherlands,40
15,Nepal,34
16,Namibia,33
17,Canada,33
18,USA,26
19,Oman,22
20,UAE,12
